Men_ID,Men_descr,Rainette_faux_grillon_boreale,Rainette_faux_grillon_de_l_Ouest,Salamandre_a_quatre_orteils,Salamandre_pourpre_pop_des_Adirondacks_et_des_Appalaches,Salamandre_sombre_des_montagnes_pop_des_Appalaches,Chauve_souris_argentee,Chauve_souris_cendree,Chauve_souris_nordique,Chauve_souris_pygmee_de_l_Est,Chauve_souris_rousse_de_l_Est,Grande_chauve_souris_brune,Petite_chauve_souris_brune,Pipistrelle_de_l_Est,Satyre_fauve_des_Maritimes,Aigle_royal,Arlequin_plongeur_pop_de_l_Est,Becasseau_maubeche_rufa,Bruant_sauterelle_pratensis,Garrot_d_Islande_pop_de_l_Est,Grebe_esclavon,Grive_de_Bicknell,Guifette_noire,Hibou_des_marais,Hirondelle_de_rivage,Martinet_ramoneur,Oceanite_Cul_blanc,Paruline_a_ailes_dorees,Paruline_azuree,Petit_blongios,Pluvier_siffleur_melodus,Rale_jaune,Sterne_de_Dougall,Belette_pygmee,Campagnol_lemming_de_Cooper,Campagnol_des_rochers,Campagnol_sylvestre,Musaraigne_de_Gaspe,Musaraigne_longicaude,Petit_polatouche_pop_des_plaines_des_Grands_Lacs,Alose_savoureuse,Brochet_maille,Brochet_vermicule,Chabot_de_profondeur,Chat_fou_des_rapides,Chevalier_cuivre,Chevalier_de_riviere,Cisco_de_printemps,Crapet_du_Nord,Dard_de_sable,eperlan_arc_en_ciel_pop_du_sud_de_l_estuaire_du_Saint_Laurent,Esturgeon_jaune,Esturgeon_noir,Fouille_roche_gris,Lamproie_du_Nord,Mene_laiton,Mene_d_herbe,Omble_chevalier_oquassa,Couleuvre_a_collier_du_Nord,Couleuvre_brune,Couleuvre_d_eau_du_Nord,Couleuvre_mince_du_Nord,Couleuvre_tachetee,Couleuvre_verte,Tortue_des_bois,Tortue_geographique,Tortue_molle_a_epines,Tortue_mouchetee,Tortue_musquee
1.1.1,Zones résidentielles et urbaines denses,,Extrême,Extrême,Extrême,Extrême,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Extrême,Extrême,,Extrême,Extrême,,,Extrême,Extrême,Extrême,Extrême,,,Extrême,Extrême,Extrême,Extrême,Extrême,,,,,Extrême,,,Extrême,,,,,,Extrême,,Extrême,Extrême,Extrême,,,,Extrême,,,Extrême,,Extrême,Sérieuse,Extrême,,Sérieuse,Extrême,Extrême,Modérée,Modérée,Modérée,Légère
1.1.2,Zones résidentielles à faible densité,,,Extrême,,,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Légère,Extrême,,,Légère,Sérieuse,,,Modérée,,Modérée,Sérieuse,Sérieuse,Sérieuse,Sérieuse,,,,,Sérieuse,,,Sérieuse,,,,,,,,,,,,,,,,,,,Sérieuse,,Sérieuse,Sérieuse,,Sérieuse,Sérieuse,Modérée,Légère,Légère,Légère
1.2.1,Zones commerciales et industrielles_N3,,,Extrême,Sérieuse,,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Extrême,,,Extrême,,,,,Extrême,,Extrême,Modérée,,Extrême,Extrême,Extrême,Extrême,Extrême,,,,,Extrême,,,,Extrême,,,,Extrême,Extrême,Extrême,,Extrême,,Extrême,Extrême,Extrême,Extrême,,,Extrême,,Extrême,Sérieuse,Extrême,,Sérieuse,Extrême,Extrême,Modérée,,,
1.3.1,Parcs et terrains de sport,,Extrême,,Extrême,Sérieuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sérieuse,,,Sérieuse,,Modérée,Négligeable,,,Négligeable
1.3.2,Terrains de camping,,,Sérieuse,Sérieuse,Sérieuse,,,,,,,,,,,,,,,,Légère,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3.3,Stations de ski,,,,Sérieuse,,,,,,,,,,,,,,,,,Modérée,,,,,,,,,,,,,,,,,,Modérée,,,,,,,,,,,,,,,,,,,Sérieuse,,,,,,,,,,
1.3.4,Sentiers récréatifs,,,Modérée,Modérée,Sérieuse,,,,,,,,,,Modérée,,Légère,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3.5,Quais et marinas,,,,,,,,,,,,,,,,,Extrême,,,,,,,,,,,,,Sérieuse,,,,,,,,,,,Modérée,,,Modérée,Modérée,Modérée,,,Modérée,,,,Modérée,,,Modérée,,,,,,,,,,,,
2.1.1,Agriculture de type annuelle (grandes cultures),,Sérieuse,Extrême,Extrême,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,,,,,Extrême,,,,Sérieuse,Sérieuse,Légère,,,Modérée,Extrême,Sérieuse,,Sérieuse,,Sérieuse,,,Extrême,,,Extrême,,,,,,,,,,,,,,,,,,,Extrême,Sérieuse,Sérieuse,Extrême,Sérieuse,Extrême,Modérée,Inconnue,Modérée,Légère,Négligeable
2.1.2,Agriculture pérenne,,,,,,,,,,,,,,,,,,Sérieuse,,,,Sérieuse,Extrême,,,,,Extrême,Sérieuse,,Sérieuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modérée,,Modérée,Modérée,Modérée,Modérée,,Légère,Légère,
2.1.3,Agriculture autre,,,,Sérieuse,Sérieuse,,,,,,,,,,,,,Modérée,,,,Sérieuse,,,,,,Extrême,Sérieuse,,,,,,,Extrême,,,Légère,,,,,,,,,,,,,,,,,,,Sérieuse,Modérée,,,Modérée,Modérée,,,,,
2.2.1,Production de bois de pulpe,,,Sérieuse,,,,,,,,,,,,,,,,,,,,Légère,,,,,,,,,,,,,Légère,,,Légère,,,,,,,,,,,,,,,,,,,,,,,,,Légère,,,,
2.2.2,Plantations d'arbres d'ornement,,,,Sérieuse,Sérieuse,,,,,,,,,,,,,Inconnue,,,,,Légère,,,,,,,,,,,,,Légère,,,Légère,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3.1,Élevage extensif extérieur (sur paturages),,Modérée,,Sérieuse,Modérée,,,,,,,,,,,,,Modérée,,,,,Modérée,,,,Modérée,,,,Modérée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inconnue,,,
2.3.2,Élevage intensif extérieur (forte densité),,,,Extrême,Sérieuse,,,,,,,,,,,,,Modérée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Légère,,,,
2.4.1,Pisciculture en mer,,,,,,,,,,,,,,,,Légère,,,Légère,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4.4,Culture d'algues,,,,,,,,,,,,,,,,Légère,,,Légère,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4.5,Culture de mollusques en mer,,,,,,,,,,,,,,,,Légère,Légère,,Légère,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.1,Exploitation pétrolière sur terre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extrême,,,,
3.1.2,Exploitation pétrolière en mer,,,,,,,,,,,,,,,,,,,,,,,,,,Légère,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.5,Exploitation du gaz naturel en mer,,,,,,,,,,,,,,,,,,,,,,,,,,Légère,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2.1,Mines sous-terraines,,,,Sérieuse,,,,Modérée,Modérée,,Modérée,Modérée,Modérée,,Sérieuse,Légère,Négligeable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2.2,Mines à ciel ouvert,,,,Extrême,,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,,Extrême,Légère,Négligeable,,,,,,Extrême,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modérée,
3.2.3,Carrières et sablières,,Extrême,Extrême,Extrême,Extrême,,,Modérée,Modérée,,Modérée,Modérée,Modérée,,Extrême,,Négligeable,,,,,,,Extrême,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extrême,,Extrême,Extrême,,,Sérieuse,Légère,,Modérée,
3.2.4,Récolte de la tourbe,,,Extrême,,,,,,,,,,,,,,,,,,,,Sérieuse,,,,,,,,,,Sérieuse,Extrême,Extrême,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extrême,,,,,
3.3.1,Barrages hydroélectriques,,,,Légère,Légère,,,,,,,,,,Sérieuse,Sérieuse,,,Légère,,,,,,,,,,,,,,,,,,,,,Sérieuse,,,,,Sérieuse,Sérieuse,,Sérieuse,Légère,,Sérieuse,Sérieuse,Modérée,,,,,,,,,,,,,,,
3.3.2,Parcs éoliens,,,,Extrême,,Légère,Légère,Légère,Légère,Légère,Légère,Légère,Légère,,Modérée,,,,,,Légère,,Légère,,,,Modérée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1.1,Routes,,Légère,,,,Légère,Légère,Légère,Légère,Légère,Légère,Légère,Légère,,Modérée,,,,Sérieuse,,,,Modérée,Légère,Négligeable,,,Sérieuse,Inconnue,,,,Légère,,,,,,Légère,,,,,,Extrême,Extrême,,,Extrême,,,,Extrême,,,Extrême,,Légère,Modérée,Légère,Légère,Modérée,Légère,Sérieuse,Modérée,Négligeable,Sérieuse,Négligeable
4.1.2,Voies ferrées,,Légère,,,,,,,,,,,,,,,,,,,,,Légère,,,,,Sérieuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Légère,,,Légère,
4.1.3,Ponts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modérée,,,,,Modérée,,,,,,,Modérée,,,,,,,,,,,,
4.1.4,Chemins forestiers,,,,,,,,,,,,,,,,,,,,,Modérée,,,,,,,Sérieuse,,,,,Négligeable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sérieuse,,,,
4.2.1,Lignes de transport d'énergie et de service,,,Sérieuse,Sérieuse,Sérieuse,,,,,,,,,,Modérée,,,,,,Modérée,,,,Négligeable,,Légère,Sérieuse,,,Inconnue,,,,,,,,,,,,,,,,,,,,,,,,,,,,Négligeable,,,,,,,,,
4.2.2,Oléoducs et gazoducs,,,,,,,,,,,,,,,,,,,,,Modérée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.3.1,Navigation commerciale,,,,,,,,,,,,,,,,,,,,,,,,Modérée,,,,,,,,,,,,,,,,Modérée,,,,,Modérée,Modérée,,Modérée,Sérieuse,,Modérée,Modérée,,,Modérée,Modérée,,,,,,,,,,,,
4.3.2,Dragage des voies de navigation,,,,,,,,,,,,,,,,,,,Légère,,,,,,,,,,,,,,,,,,,,,,Modérée,,,Modérée,Légère,Modérée,,,Modérée,,,,,Sérieuse,,Modérée,,,,,,,,,Modérée,Modérée,,Modérée
4.3.3,Canaux et écluses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modérée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.4.1,Corridors aériens_N3,,,,,,,,,,,,,,,Modérée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1.1,Chasse,,,,,,,,,,,,,,,Légère,Inconnue,,,Légère,Modérée,,,Légère,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1.2,Piégeage,,,,,,,,,,,,,,,Sérieuse,,,,,,,,,,,,,,,,,,,,,,,,Extrême,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1.4,Braconnage/persécution d'animaux terrestres,,,,,,,,,,,,,,,Sérieuse,,,,,Inconnue,,,,,Sérieuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Légère,Modérée,Légère,Légère,Sérieuse,Légère,Sérieuse,Sérieuse,Inconnue,Sérieuse,Sérieuse
5.1.5,Contrôle/gestion d'animaux terrestres,,,,,,,,Modérée,,,Sérieuse,Sérieuse,,,,,,,,,,,,,Modérée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.2.1,Cueillette récréative ou de subsistance,,,,,,,,,,,,,,,,,Sérieuse,,,,,,,,,,,,,Extrême,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.3.1,Retrait total du couvert forestier,,,Extrême,Extrême,Extrême,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,Sérieuse,,Sérieuse,Modérée,,,Sérieuse,,Sérieuse,,,,Légère,,,Extrême,,,,,Sérieuse,Sérieuse,Extrême,Extrême,Sérieuse,Sérieuse,Extrême,,,,,,,,,,,,,,,,,,,Extrême,,,,,,Légère,,,,
5.3.2,Retrait partiel du couvert forestier,,,Sérieuse,Sérieuse,Sérieuse,Modérée,Modérée,Modérée,Modérée,Modérée,Modérée,Modérée,Modérée,,,Modérée,,,Sérieuse,,Modérée,,,,Légère,,,Sérieuse,,,,,,Modérée,Sérieuse,Sérieuse,Modérée,Modérée,Sérieuse,,,,,,,,,,,,,,,,,,,Sérieuse,,,,,,,,,,
5.3.3,Traitements d'éducation,,,,,,Modérée,Modérée,,,Modérée,,,,,,,,,,,Sérieuse,,,,,,,Modérée,,,,,,,,,,,Sérieuse,,,,,,,,,,,,,,,,,,,Sérieuse,,,,,,,,,,
5.3.4,Régénération artificielle des peuplements,,,,,,,,,,,,,,,,,,Inconnue,,,Sérieuse,,,,,,Modérée,Modérée,,,Sérieuse,,,,,,,,Modérée,,,,,,,,,,,,,,,,,,,Sérieuse,,,,,,,,,,
5.3.5,Préparation de terrain après coupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modérée,,,,,,,Sérieuse,Sérieuse,Sérieuse,Sérieuse,,,,,,,,,,,,,,,,,,,,Sérieuse,,,,,,,,,,
5.4.1,Pêche récréative ou de subsistance,,,,,,,,,,,,,,,,,Modérée,,,,,,,,,,,,,Modérée,,,,,,,,,,Légère,Légère,,,,Légère,Légère,Légère,Légère,,Légère,Légère,Légère,,,Légère,,Légère,,,,,,,Négligeable,Légère,Modérée,,Légère
5.4.2,Pêche commerciale industrielle,,,,,,,,,,,,,,,,,,,Légère,Modérée,,,,,,,,,,,,,,,,,,,,Légère,,,,,Légère,Légère,,Légère,,,Légère,Légère,,,,,,,,,,,,,Légère,,Légère,Modérée
5.4.3,Braconnage/persécution d'espèces aquatiques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sérieuse,,,,,,,,,,,,,,,,,,,
6.1.1,Véhicules motorisés,Légère,Légère,Modérée,Légère,Légère,,,,,,,,,Légère,Modérée,,Modérée,Inconnue,Modérée,Modérée,Modérée,,Modérée,Légère,,,,,,Extrême,,,Négligeable,,,,,,,,,,,,,,,,,,,,,,,,,,,Négligeable,Légère,Légère,Légère,Légère,Légère,Légère,Légère,
6.1.2,Randonnée,,,,,,,,,,,,,,,Sérieuse,,Modérée,,,Modérée,Modérée,,,Légère,,Négligeable,,,,Extrême,,Inconnue,,,,,,,,,,,,,,,,,,,,,,,,,,,Légère,,,,,,,,,
6.1.3,Usage récréatif des falaises et parois rocheuses,,,,,,,,,,,,,,,Sérieuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1.4,Navigation de plaisance,,,,,,,,,,,,,,,,Légère,Modérée,,Légère,,,Inconnue,,Légère,,,,,Modérée,,,,,,,,,,,,,,,,Sérieuse,Sérieuse,,Sérieuse,Sérieuse,,,,Sérieuse,,,Sérieuse,,,,,,,,Légère,Sérieuse,Modérée,,Modérée
6.1.5,Camping sauvage sans aménagement,,,,,,,,,,,,,,,,,,,,Modérée,,,,,,Négligeable,,,,Extrême,,Inconnue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1.7,Spéléologie,,,,,,,,Sérieuse,Sérieuse,,Sérieuse,Sérieuse,Sérieuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
